C,Comp. Quality,Loss,PSNR
1,0.000130821559392988,47.0890453639865,13.8548767654908
10,0.00130821559392988,22.0421022799944,17.1515454935403
100,0.0130821559392988,15.8319263717169,18.5887380116672
1000,0.130821559392988,9.70907041285465,20.7122991190864
